"STUDY.ACCESSION","PUBMED.ID","DISEASE.TRAIT","INITIAL.SAMPLE.SIZE","MAPPED_TRAIT","NUMBER.OF.INDIVIDUALS","BROAD.ANCESTRAL.CATEGORY"
"GCST001719",23104005,"Prostate cancer","5,141 European ancestry cases, 54,444 European ancestry controls","prostate carcinoma",59585,"European"
"GCST001721",23108145,"Lung Cancer (DNA repair capacity)","914 European ancestry non-small cell lung cancer cases, 860 European ancestry controls","lung carcinoma",1774,"European"
"GCST001731",23114982,"Colorectal cancer (environment interaction)","314 European ancestry cases","smoking status measurement, colorectal cancer, alcohol consumption measurement, overweight body mass index status",314,"European"
"GCST001734",23144319,"Non-small cell lung cancer","348 Korean ancestry cases","non-small cell lung carcinoma",348,"East Asian"
"GCST001740",23143601,"Lung cancer","5,510 East Asian ancestry cases, 4,544 East Asian ancestry controls","lung carcinoma",10054,"East Asian"
"GCST001749",23180869,"Pancreatic cancer","642 European ancestry cases","pancreatic carcinoma",642,"European"
"GCST001750",23184150,"Renal cell carcinoma","2,215 European ancestry cases, 8,566 European ancestry controls","renal cell carcinoma",10781,"European"
"GCST001752",23209447,"Nasopharyngeal carcinoma","up to 1,405 Han Chinese ancestry cases, up to 2,650 Han Chinese ancestry controls","nasopharyngeal neoplasm",4055,"East Asian"
"GCST001775",23242368,"Hepatocellular carcinoma in hepatitis B infection","1,161 Chinese ancestry cases, 1,353 Chinese ancestry controls","hepatocellular carcinoma",2514,"East Asian"
"GCST001787",23266556,"Colorectal cancer","12,696 European ancestry colorectal tumor cases, 15,113 European ancestry controls","colorectal cancer",27809,"European"
"GCST001792",23263487,"Colorectal cancer","2,098 East Asian ancestry cases, 5,749 East Asian ancestry controls","colorectal cancer",7847,"East Asian"
"GCST001794",23300701,"Colorectal cancer (SNP x SNP interaction)","8,380 European ancestry cases, 10,558 European ancestry controls","colorectal cancer",18938,"European"
"GCST001815",23321320,"Hepatitis C induced liver cirrhosis","682 Japanese ancestry cases, 1,045 Japanese ancestry controls","hepatitis C induced liver cirrhosis",1727,"East Asian"
"GCST001816",23319801,"Breast cancer (prognosis)","536 European ancestry early-onset cases","breast carcinoma",536,"European"
"GCST001826",23349640,"Lymphoma","275 Follicular non-Hodgkin's Lymphoma cases, 269 diffuse large B-cell non-Hodgkin's Lymphoma cases, 198 other non-Hodgkin's Lymphoma cases, 202 Hodgkin's Lymphoma cases, 4,044 controls","lymphoma",4988,"NR"
"GCST001827",23341777,"Squamous cell carcinoma","833 Han Chinese ancestry cases, 3,094 Han Chinese ancestry controls","non-small cell lung carcinoma",3927,"East Asian"
"GCST001831",23354978,"Breast cancer","477 Ashkenazi Jewish cases, 524 Ashkenazi Jewish controls","breast carcinoma",1001,"European"
"GCST001832",23350875,"Colorectal cancer","882 European ancestry cases, 473 European ancestry controls","colorectal cancer",1355,"European"
"GCST001869",23423446,"Breast cancer (menopausal hormone therapy interaction)","731 European ancestry cases","breast carcinoma, hormone replacement therapy",731,"European"
"GCST001879",23468962,"Breast cancer","3,016 African American cases, 2,745 African American controls","breast carcinoma",5761,"African American or Afro-Caribbean"
"GCST001886",23455637,"Melanoma","1,353 European ancestry cases, 3,566 European ancestry controls","melanoma",4919,"European"
"GCST001900",23482656,"Cervical cancer","1,034 European ancestry cases, 3,948 European ancestry controls","cervical carcinoma",4982,"European"
"GCST001906",23502783,"Multiple myeloma (IgH translocation)","up to 1,660 European ancestry cases, 7,306 European ancestry controls","multiple myeloma",8966,"European"
"GCST001907",23502783,"Multiple myeloma (hyperdiploidy)","up to 1,660 European ancestry cases, 7,306 European ancestry controls","multiple myeloma",8966,"European"
"GCST001912",23512250,"Acute lymphoblastic leukemia (childhood)","972 European ancestry cases, 1,386 European ancestry controls, 89 African American cases, 1,363 African American controls, 305 Hispanic cases, 1,008 Hispanic controls","acute lymphoblastic leukemia",1452,"African American or Afro-Caribbean"
"GCST001912",23512250,"Acute lymphoblastic leukemia (childhood)","972 European ancestry cases, 1,386 European ancestry controls, 89 African American cases, 1,363 African American controls, 305 Hispanic cases, 1,008 Hispanic controls","acute lymphoblastic leukemia",1313,"Hispanic or Latin American"
"GCST001912",23512250,"Acute lymphoblastic leukemia (childhood)","972 European ancestry cases, 1,386 European ancestry controls, 89 African American cases, 1,363 African American controls, 305 Hispanic cases, 1,008 Hispanic controls","acute lymphoblastic leukemia",2358,"European"
"GCST001916",23544013,"Breast Cancer in BRCA1 mutation carriers","1,426 European ancestry cases, 1,301 European ancestry controls","breast carcinoma",2727,"European"
"GCST001917",23544013,"Ovarian cancer in BRCA1 mutation carriers","683 European ancestry cases, 2,044 European ancestry controls","ovarian carcinoma",2727,"European"
"GCST001928",23535911,"Pediatric non-alcoholic fatty liver disease activity score","392 Japanese ancestry cases, 934 Japanese ancestry controls","non-alcoholic fatty liver disease, cirrhosis of liver",1326,"East Asian"
"GCST001930",23535733,"Breast cancer","4,193 European ancestry cases, 35,194 European ancestry controls","breast carcinoma",39387,"European"
"GCST001937",23535729,"Breast cancer","10,052 European ancestry cases, 12,575 European ancestry controls","breast carcinoma",22627,"European"
"GCST001941",23535730,"Ovarian cancer","3,769 European ancestry cases, 4,396 European ancestry controls","ovarian carcinoma",8165,"European"
"GCST001942",23535732,"Prostate cancer","11,085 European ancestry cases, 11,463 European ancestry controls","prostate carcinoma",22548,"European"
"GCST001974",24429156,"Idiopathic pulmonary fibrosis","542 European ancestry cases, 542 European ancestry controls","idiopathic pulmonary fibrosis",1084,"European"
"GCST001978",23626673,"Malignant pleural mesothelioma","392 European ancestry cases, 367 European ancestry controls","malignant pleural mesothelioma",759,"European"
"GCST002010",23644492,"Esophageal squamous cell cancer (length of survival)","1,331 Chinese ancestry cases","survival time, squamous cell carcinoma, esophageal carcinoma",1331,"East Asian"
"GCST002022",23666240,"Testicular germ cell tumor","986 European ancestry cases, 4,946 European ancestry controls","testicular carcinoma",5932,"European"
"GCST002023",23666239,"Testicular germ cell tumor","582 European ancestry male cases, 1,056 European ancestry male controls","testicular carcinoma",1638,"European"
"GCST002024",23668334,"Prostate cancer","90 Tunisian ancestry cases, 131 Tunisian ancestry controls","prostate carcinoma",221,"Greater Middle Eastern (Middle Eastern, North African or Persian)"
"GCST002032",23704207,"Non-small cell lung cancer (survival)","620 European ancestry never smoker cases","survival time, non-small cell lung carcinoma",620,"European"
"GCST002056",23727862,"Osteosarcoma","694 European ancestry cases, 2,703 European ancestry controls","osteosarcoma",3397,"European"
"GCST002066",23749188,"B cell non-Hodgkin lymphoma","253 Singaporean Chinese ancestry cases, 1,438 Singaporean Chinese ancestry controls","lymphoma",1691,"East Asian"
"GCST002073",23770605,"Chronic lymphocytic leukemia","2,179 European ancestry cases, 6,221 European ancestry controls","chronic lymphocytic leukemia",8400,"European"
"GCST002082",23817570,"Cervical cancer","Up to 1,364 Han Chinese ancestry cases, up to 3,028 Han Chinese ancestry controls","cervical carcinoma",4392,"East Asian"
"GCST002085",23827383,"Malignant mesothelioma","428 European ancestry cases, 2,047 European ancestry controls","mesothelioma",2475,"European"
"GCST002099",23875689,"Colorectal cancer","105 Korean ancestry cases","colorectal cancer",105,"East Asian"
"GCST002102",23894154,"Thyroid cancer","690 European ancestry cases, 497 European ancestry controls","thyroid carcinoma",1187,"European"
"GCST002140",23955597,"Multiple myeloma","2,335 European ancestry cases, 7,306 European ancestry controls","multiple myeloma",9641,"European"
"GCST002158",23996088,"Acute lymphoblastic leukemia (B-cell precursor)","1,658 European ancestry child cases, 4,723 European ancestry controls","B-cell acute lymphoblastic leukemia",6381,"European"
"GCST002210",24159609,"Acute myeloid leukemia","118 Korean ancestry individuals","acute myeloid leukemia",118,"East Asian"
"GCST002212",24084763,"Colorectal adenoma (advanced)","139 European ancestry cases, 1,267 European ancestry controls","colorectal adenoma",1406,"European"
"GCST002215",24096698,"Endometrial cancer","2,695 European ancestry cases, 2,777 European ancestry controls","endometrial neoplasm",5472,"European"
"GCST002218",24096698,"Endometrial cancer","up to 2,695 European ancestry cases, up to 2,777 European ancestry controls","endometrial neoplasm",5472,"European"
"GCST002231",24121790,"Digestive system disease (Barrett's esophagus and esophageal adenocarcinoma combined)","3,928 European ancestry cases, 3,207 European ancestry controls","esophageal adenocarcinoma, digestive system disease, Barrett's esophagus",7135,"European"
"GCST002232",24121790,"Esophageal adenocarcinoma","1,516 European ancestry cases, 3,209 European ancestry controls","esophageal adenocarcinoma",5442,"European"
"GCST002234",24143190,"Breast cancer","2,642 Japanese ancestry cases, 2,099 Japanese ancestry controls","breast carcinoma",4741,"East Asian"
"GCST002236",24141364,"Acute lymphoblastic leukemia (childhood)","75 European, Asian, African American, and Hispanic ancestry Ph-like ALL cases, 436 European, Asian, African American, and Hispanic ancestry non Ph-like ALL cases, 6,661 European, Asian, African American, and Hispanic ancestry non-ALL controls","acute lymphoblastic leukemia",1541,"European"
"GCST002236",24141364,"Acute lymphoblastic leukemia (childhood)","75 European, Asian, African American, and Hispanic ancestry Ph-like ALL cases, 436 European, Asian, African American, and Hispanic ancestry non Ph-like ALL cases, 6,661 European, Asian, African American, and Hispanic ancestry non-ALL controls","acute lymphoblastic leukemia",4344,"African American or Afro-Caribbean, Asian unspecified"
"GCST002236",24141364,"Acute lymphoblastic leukemia (childhood)","75 European, Asian, African American, and Hispanic ancestry Ph-like ALL cases, 436 European, Asian, African American, and Hispanic ancestry non Ph-like ALL cases, 6,661 European, Asian, African American, and Hispanic ancestry non-ALL controls","acute lymphoblastic leukemia",1287,"Hispanic or Latin American"
"GCST002237",24149102,"Hodgkin's lymphoma","1,465 European ancestry cases, 6,417 European ancestry controls","Hodgkins lymphoma",7882,"European"
"GCST002240",24163127,"Bladder cancer","up to 2,305 European ancestry cases, up to 3,901 European ancestry controls","urinary bladder carcinoma",6206,"European"
"GCST002243",24163127,"Bladder cancer","6,911 European ancestry cases, 11,818 European ancestry controls","urinary bladder carcinoma",18729,"European"
"GCST002264",24185611,"Prostate cancer","474 West African ancestry cases, 458 West African ancestry controls","prostate carcinoma",932,"Sub-Saharan African"
"GCST002265",24080446,"Breast cancer (menopausal hormone therapy interaction)","2,920 European ancestry cases","breast carcinoma, hormone replacement therapy",2920,"European"
"GCST002266",24080446,"Lobular breast cancer (menopausal hormone therapy interaction)","541 European ancestry cases","invasive lobular carcinoma, hormone replacement therapy",541,"European"
"GCST002267",24190013,"Epithelial ovarian cancer","84 European ancestry mucinous cases, 114 European ancestry endometroid or clear cell cases, 75 European ancestry low malignant potential serous cases, 272 European ancestry invasive serous cases, 398 European ancestry controls","Malignant epithelial tumor of ovary",943,"European"
"GCST002272",24220910,"Renal cell carcinoma","255 African American cases, 375 African American controls","renal cell carcinoma",630,"African American or Afro-Caribbean"
"GCST002273",24220699,"Renal cell carcinoma","1,505 European ancestry cases, 67,725 European ancestry controls","renal cell carcinoma",69230,"European"
"GCST002299",24292274,"Chronic lymphocytic leukemia","1,739 European ancestry cases, 5,199 European ancestry controls","chronic lymphocytic leukemia",6938,"European"
"GCST002305",24325915,"Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)","1,529 European ancestry cases, 3,399 European ancestry controls","triple-negative breast cancer",4928,"European"
"GCST002331",24403052,"Basal cell carcinoma","4,208 European ancestry cases, 109,408 European ancestry controls","basal cell carcinoma",113616,"European"
"GCST002340",24448986,"Colorectal cancer","1,773 East Asian ancestry cases, 2,642 East Asian ancestry controls","colorectal cancer",4415,"East Asian"
"GCST002346",24493630,"Breast cancer (early onset)","3,523 European ancestry young female cases, 2,702 European ancestry young female controls","breast carcinoma",6225,"European"
"GCST002392",24658283,"Lung cancer (smoking interaction)","1,506 Han Chinese ancestry smoker cases, 825 Han Chinese ancestry non-smoker cases, 1,309 Han Chinese ancestry smoker controls, 1,768 Han Chinese ancestry non-smoker controls","smoking status measurement, lung carcinoma",5408,"East Asian"
